,pc_100,avg_datarate,playing_time,down_time
0,virtual_deployment_units_con:transcoder-image-1-con,790.9483044346174,300.0,0.0
1,virtual_deployment_units_gpu:transcoder-image-1-gpu,5913.909379728202,291.0,9.0
2,virtual_deployment_units_con:transcoder-image-1-con,1101.7914924860825,287.0,13.0
3,virtual_deployment_units_gpu:transcoder-image-1-gpu,7055.9273019228895,290.0,10.0
4,virtual_deployment_units_con:transcoder-image-1-con,1175.6732399537138,290.0,10.0
5,virtual_deployment_units_gpu:transcoder-image-1-gpu,6339.889331161976,288.0,12.0
6,virtual_deployment_units_con:transcoder-image-1-con,915.5743491033028,288.0,12.0
7,virtual_deployment_units_gpu:transcoder-image-1-gpu,6886.330969911386,291.0,9.0
8,virtual_deployment_units_con:transcoder-image-1-con,1034.454388716786,289.0,11.0
9,virtual_deployment_units_gpu:transcoder-image-1-gpu,6931.263000385402,290.0,10.0
10,virtual_deployment_units_con:transcoder-image-1-con,1092.7244996287159,289.0,11.0
11,virtual_deployment_units_vm:transcoder-image-1-vm,764.2070269478219,278.0,22.0
12,virtual_deployment_units_con:transcoder-image-1-con,813.7550438010453,296.0,4.0
13,virtual_deployment_units_vm:transcoder-image-1-vm,764.5625963055512,281.0,19.0
14,virtual_deployment_units_con:transcoder-image-1-con,883.572348512259,296.0,4.0
15,virtual_deployment_units_vm:transcoder-image-1-vm,740.1154143106047,279.0,21.0
16,virtual_deployment_units_con:transcoder-image-1-con,877.7027179130772,296.0,4.0
17,virtual_deployment_units_vm:transcoder-image-1-vm,779.2092398949818,285.0,15.0
18,virtual_deployment_units_con:transcoder-image-1-con,863.5022872246352,298.0,2.0
19,virtual_deployment_units_vm:transcoder-image-1-vm,740.1230176427373,285.0,15.0
20,virtual_deployment_units_vm:transcoder-image-1-vm,742.7647103865942,300.0,0.0
21,virtual_deployment_units_gpu:transcoder-image-1-gpu,6138.069342596819,298.0,2.0
22,virtual_deployment_units_vm:transcoder-image-1-vm,2349.2161678084244,280.0,20.0
23,virtual_deployment_units_gpu:transcoder-image-1-gpu,6195.912285539128,296.0,4.0
24,virtual_deployment_units_vm:transcoder-image-1-vm,2296.964255738423,285.0,15.0
25,virtual_deployment_units_gpu:transcoder-image-1-gpu,6191.891493213257,296.0,4.0
26,virtual_deployment_units_vm:transcoder-image-1-vm,2317.9986555661476,278.0,22.0
27,virtual_deployment_units_gpu:transcoder-image-1-gpu,6506.188453648629,295.0,5.0
28,virtual_deployment_units_vm:transcoder-image-1-vm,2573.606636284957,285.0,15.0
29,virtual_deployment_units_gpu:transcoder-image-1-gpu,6113.248445243644,296.0,4.0
