,policy,avg_datarate,playing_time,down_time
0,virtual_deployment_units_gpu:transcoder-image-1-gpu,6588.674266338348,300.0,0.0
1,virtual_deployment_units_gpu:transcoder-image-1-gpu,6046.990230083466,300.0,0.0
2,virtual_deployment_units_gpu:transcoder-image-1-gpu,6052.018270492554,300.0,0.0
3,virtual_deployment_units_gpu:transcoder-image-1-gpu,6750.125997861226,300.0,0.0
4,virtual_deployment_units_gpu:transcoder-image-1-gpu,6688.325912157695,300.0,0.0
5,virtual_deployment_units_con:transcoder-image-1-con,1106.3250381856749,290.0,10.0
6,virtual_deployment_units_con:transcoder-image-1-con,830.5346568875635,300.0,0.0
7,virtual_deployment_units_con:transcoder-image-1-con,828.9824399103721,300.0,0.0
8,virtual_deployment_units_con:transcoder-image-1-con,804.4096293052038,300.0,0.0
9,virtual_deployment_units_con:transcoder-image-1-con,837.6629510521889,300.0,0.0
10,virtual_deployment_units_con:transcoder-image-1-con,827.7967781821886,300.0,0.0
11,virtual_deployment_units_con:transcoder-image-1-con,739.1257451971372,300.0,0.0
12,virtual_deployment_units_con:transcoder-image-1-con,738.0442075107409,299.0,1.0
13,virtual_deployment_units_con:transcoder-image-1-con,736.7807440956434,300.0,0.0
14,virtual_deployment_units_con:transcoder-image-1-con,736.3043500979742,300.0,0.0
15,virtual_deployment_units_con:transcoder-image-1-con,832.9599439104398,300.0,0.0
16,virtual_deployment_units_con:transcoder-image-1-con,852.5138306617737,300.0,0.0
17,virtual_deployment_units_con:transcoder-image-1-con,833.0309618233392,300.0,0.0
18,virtual_deployment_units_con:transcoder-image-1-con,818.7169900241619,300.0,0.0
19,virtual_deployment_units_con:transcoder-image-1-con,833.96832305938,300.0,0.0
20,virtual_deployment_units_con:transcoder-image-1-con,835.8694972641146,300.0,0.0
21,virtual_deployment_units_con:transcoder-image-1-con,792.1973637739817,300.0,0.0
22,virtual_deployment_units_con:transcoder-image-1-con,823.9172725876173,300.0,0.0
23,virtual_deployment_units_con:transcoder-image-1-con,829.0728690020154,299.0,1.0
24,virtual_deployment_units_con:transcoder-image-1-con,830.4702038069566,300.0,0.0
25,virtual_deployment_units_con:transcoder-image-1-con,835.867553850015,300.0,0.0
26,virtual_deployment_units_con:transcoder-image-1-con,810.7914624611536,300.0,0.0
27,virtual_deployment_units_con:transcoder-image-1-con,841.4566282431284,300.0,0.0
28,virtual_deployment_units_con:transcoder-image-1-con,821.6330946485201,300.0,0.0
29,virtual_deployment_units_con:transcoder-image-1-con,823.7012780395647,300.0,0.0
30,virtual_deployment_units_con:transcoder-image-1-con,834.2272243152062,300.0,0.0
31,virtual_deployment_units_con:transcoder-image-1-con,830.038913389047,300.0,0.0
32,virtual_deployment_units_con:transcoder-image-1-con,743.1037303805351,300.0,0.0
33,virtual_deployment_units_con:transcoder-image-1-con,740.5587583281922,299.0,1.0
34,virtual_deployment_units_con:transcoder-image-1-con,740.0801848371824,300.0,0.0
35,virtual_deployment_units_con:transcoder-image-1-con,740.1376844445864,300.0,0.0
36,virtual_deployment_units_con:transcoder-image-1-con,738.740809460481,300.0,0.0
37,virtual_deployment_units_con:transcoder-image-1-con,825.6099690000216,300.0,0.0
38,virtual_deployment_units_con:transcoder-image-1-con,826.9757552941641,300.0,0.0
39,virtual_deployment_units_con:transcoder-image-1-con,826.7364933093389,300.0,0.0
40,virtual_deployment_units_con:transcoder-image-1-con,833.82655871644,300.0,0.0
41,virtual_deployment_units_con:transcoder-image-1-con,797.781138420105,300.0,0.0
42,virtual_deployment_units_con:transcoder-image-1-con,823.1088272730509,300.0,0.0
43,virtual_deployment_units_con:transcoder-image-1-con,803.7994032601515,300.0,0.0
44,virtual_deployment_units_con:transcoder-image-1-con,824.3760816256205,300.0,0.0
45,virtual_deployment_units_con:transcoder-image-1-con,838.5262236148617,299.0,1.0
46,virtual_deployment_units_con:transcoder-image-1-con,828.0039477425938,300.0,0.0
47,virtual_deployment_units_con:transcoder-image-1-con,805.9820146361986,300.0,0.0
48,virtual_deployment_units_con:transcoder-image-1-con,831.3485669593016,300.0,0.0
49,virtual_deployment_units_con:transcoder-image-1-con,838.5895996633917,300.0,0.0
50,virtual_deployment_units_con:transcoder-image-1-con,818.45182839393,300.0,0.0
51,virtual_deployment_units_con:transcoder-image-1-con,823.230610092481,300.0,0.0
52,virtual_deployment_units_con:transcoder-image-1-con,825.0621817509333,300.0,0.0
53,virtual_deployment_units_con:transcoder-image-1-con,740.1428115367889,300.0,0.0
54,virtual_deployment_units_con:transcoder-image-1-con,737.8213420560129,299.0,1.0
55,virtual_deployment_units_con:transcoder-image-1-con,737.6812468965849,300.0,0.0
56,virtual_deployment_units_con:transcoder-image-1-con,736.3499493400255,300.0,0.0
57,virtual_deployment_units_con:transcoder-image-1-con,830.2180309096972,300.0,0.0
58,virtual_deployment_units_con:transcoder-image-1-con,824.8101509471113,300.0,0.0
59,virtual_deployment_units_con:transcoder-image-1-con,823.0698648172742,300.0,0.0
60,virtual_deployment_units_con:transcoder-image-1-con,847.0665096243223,300.0,0.0
61,virtual_deployment_units_con:transcoder-image-1-con,842.2792240977287,300.0,0.0
62,virtual_deployment_units_con:transcoder-image-1-con,838.4118516176628,300.0,0.0
63,virtual_deployment_units_con:transcoder-image-1-con,842.6443417867025,300.0,0.0
64,virtual_deployment_units_con:transcoder-image-1-con,824.8758390545845,300.0,0.0
65,virtual_deployment_units_con:transcoder-image-1-con,825.8730522791544,300.0,0.0
66,virtual_deployment_units_con:transcoder-image-1-con,816.1569967865944,300.0,0.0
67,virtual_deployment_units_con:transcoder-image-1-con,824.4034198414921,299.0,1.0
68,virtual_deployment_units_con:transcoder-image-1-con,837.5972090971967,300.0,0.0
69,virtual_deployment_units_con:transcoder-image-1-con,822.6998025178909,300.0,0.0
70,virtual_deployment_units_con:transcoder-image-1-con,829.0655703345934,300.0,0.0
71,virtual_deployment_units_con:transcoder-image-1-con,828.5791387657324,300.0,0.0
72,virtual_deployment_units_con:transcoder-image-1-con,838.6130019525687,300.0,0.0
73,virtual_deployment_units_con:transcoder-image-1-con,837.6954245567322,300.0,0.0
74,virtual_deployment_units_con:transcoder-image-1-con,837.3204706360897,300.0,0.0
75,virtual_deployment_units_con:transcoder-image-1-con,740.822214682897,300.0,0.0
76,virtual_deployment_units_con:transcoder-image-1-con,740.5886679987445,299.0,1.0
77,virtual_deployment_units_con:transcoder-image-1-con,814.4274605313936,300.0,0.0
78,virtual_deployment_units_con:transcoder-image-1-con,741.1959766348203,300.0,0.0
79,virtual_deployment_units_con:transcoder-image-1-con,736.8933581312498,300.0,0.0
80,virtual_deployment_units_con:transcoder-image-1-con,853.3561206857363,300.0,0.0
81,virtual_deployment_units_con:transcoder-image-1-con,836.4211135109266,300.0,0.0
82,virtual_deployment_units_con:transcoder-image-1-con,833.0415290555296,300.0,0.0
83,virtual_deployment_units_con:transcoder-image-1-con,820.8131750610968,300.0,0.0
84,virtual_deployment_units_con:transcoder-image-1-con,855.9544035792351,300.0,0.0
85,virtual_deployment_units_con:transcoder-image-1-con,835.3863122065862,300.0,0.0
86,virtual_deployment_units_con:transcoder-image-1-con,819.0093070268631,300.0,0.0
87,virtual_deployment_units_con:transcoder-image-1-con,822.7819916543862,300.0,0.0
88,virtual_deployment_units_con:transcoder-image-1-con,824.8008446348831,300.0,0.0
89,virtual_deployment_units_con:transcoder-image-1-con,842.3091431325894,299.0,1.0
90,virtual_deployment_units_con:transcoder-image-1-con,804.903591076533,300.0,0.0
91,virtual_deployment_units_con:transcoder-image-1-con,822.2115857402483,300.0,0.0
92,virtual_deployment_units_con:transcoder-image-1-con,817.3514628410339,300.0,0.0
93,virtual_deployment_units_con:transcoder-image-1-con,826.865061322848,300.0,0.0
94,virtual_deployment_units_con:transcoder-image-1-con,842.1480851372083,300.0,0.0
95,virtual_deployment_units_con:transcoder-image-1-con,837.1270561218262,300.0,0.0
96,virtual_deployment_units_con:transcoder-image-1-con,831.4562901854515,300.0,0.0
97,virtual_deployment_units_con:transcoder-image-1-con,741.6718826691309,300.0,0.0
98,virtual_deployment_units_con:transcoder-image-1-con,740.2873434948682,299.0,1.0
99,virtual_deployment_units_con:transcoder-image-1-con,739.3604381427318,299.0,1.0
100,virtual_deployment_units_con:transcoder-image-1-con,738.1917121013006,300.0,0.0
101,virtual_deployment_units_con:transcoder-image-1-con,737.2986663381258,300.0,0.0
102,virtual_deployment_units_con:transcoder-image-1-con,855.7402836283048,300.0,0.0
103,virtual_deployment_units_con:transcoder-image-1-con,819.453899761041,300.0,0.0
104,virtual_deployment_units_con:transcoder-image-1-con,823.6593991153253,300.0,0.0
105,virtual_deployment_units_con:transcoder-image-1-con,810.3635019560655,300.0,0.0
106,virtual_deployment_units_con:transcoder-image-1-con,831.2807366251945,300.0,0.0
107,virtual_deployment_units_con:transcoder-image-1-con,837.6258805394173,300.0,0.0
108,virtual_deployment_units_con:transcoder-image-1-con,845.5019637942314,300.0,0.0
109,virtual_deployment_units_con:transcoder-image-1-con,819.4709522075331,300.0,0.0
110,virtual_deployment_units_con:transcoder-image-1-con,836.1140321668548,300.0,0.0
111,virtual_deployment_units_con:transcoder-image-1-con,829.8881353131405,299.0,1.0
112,virtual_deployment_units_con:transcoder-image-1-con,834.529313374854,300.0,0.0
113,virtual_deployment_units_con:transcoder-image-1-con,821.2340556581815,300.0,0.0
114,virtual_deployment_units_con:transcoder-image-1-con,839.7336228191853,300.0,0.0
115,virtual_deployment_units_con:transcoder-image-1-con,822.3327646652857,300.0,0.0
116,virtual_deployment_units_con:transcoder-image-1-con,831.7716733614603,300.0,0.0
117,virtual_deployment_units_con:transcoder-image-1-con,827.0210897922516,300.0,0.0
118,virtual_deployment_units_con:transcoder-image-1-con,836.6978716850281,300.0,0.0
119,virtual_deployment_units_con:transcoder-image-1-con,740.3222812215487,300.0,0.0
120,virtual_deployment_units_con:transcoder-image-1-con,740.0098000481775,299.0,1.0
121,virtual_deployment_units_con:transcoder-image-1-con,813.7288334965706,300.0,0.0
122,virtual_deployment_units_con:transcoder-image-1-con,740.4380204280218,300.0,0.0
123,virtual_deployment_units_con:transcoder-image-1-con,738.6084428926309,300.0,0.0
124,virtual_deployment_units_con:transcoder-image-1-con,845.0936246911684,300.0,0.0
125,virtual_deployment_units_con:transcoder-image-1-con,818.614621758461,300.0,0.0
126,virtual_deployment_units_con:transcoder-image-1-con,833.7997410694758,300.0,0.0
127,virtual_deployment_units_con:transcoder-image-1-con,841.9408251795297,300.0,0.0
128,virtual_deployment_units_con:transcoder-image-1-con,834.2813041165937,300.0,0.0
129,virtual_deployment_units_con:transcoder-image-1-con,821.9074679414431,300.0,0.0
130,virtual_deployment_units_con:transcoder-image-1-con,822.6442025105158,300.0,0.0
131,virtual_deployment_units_con:transcoder-image-1-con,828.1953876217207,300.0,0.0
132,virtual_deployment_units_con:transcoder-image-1-con,836.3218420743942,300.0,0.0
133,virtual_deployment_units_con:transcoder-image-1-con,838.7518162748786,299.0,1.0
134,virtual_deployment_units_con:transcoder-image-1-con,827.5584426522255,300.0,0.0
135,virtual_deployment_units_con:transcoder-image-1-con,833.7625192602476,300.0,0.0
136,virtual_deployment_units_con:transcoder-image-1-con,816.4709354300672,300.0,0.0
137,virtual_deployment_units_con:transcoder-image-1-con,821.9570661960946,300.0,0.0
138,virtual_deployment_units_con:transcoder-image-1-con,817.5651080409685,300.0,0.0
139,virtual_deployment_units_con:transcoder-image-1-con,819.2746265729269,300.0,0.0
140,virtual_deployment_units_con:transcoder-image-1-con,842.2047757109007,300.0,0.0
141,virtual_deployment_units_con:transcoder-image-1-con,739.4102277358373,300.0,0.0
142,virtual_deployment_units_con:transcoder-image-1-con,741.874981385011,299.0,1.0
143,virtual_deployment_units_con:transcoder-image-1-con,745.4177628954252,300.0,0.0
