,mean,std,min,max,policy,history
40,1202.568740701064,,1202.568740701064,1202.568740701064,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_con:transcoder-image-1-con
41,1139.076943473452,,1139.076943473452,1139.076943473452,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_gpu:transcoder-image-1-gpu
42,1183.5763875773332,,1183.5763875773332,1183.5763875773332,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con
43,1144.8880455867086,,1144.8880455867086,1144.8880455867086,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con
44,1190.0349931603664,,1190.0349931603664,1190.0349931603664,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con
45,1178.150617109279,,1178.150617109279,1178.150617109279,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con
46,1198.2681997753814,,1198.2681997753814,1198.2681997753814,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con
47,1168.516399706484,,1168.516399706484,1168.516399706484,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con
48,1167.2757583338448,,1167.2757583338448,1167.2757583338448,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con
49,1122.2063275979183,,1122.2063275979183,1122.2063275979183,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con
50,1271.4709443861495,,1271.4709443861495,1271.4709443861495,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_con:transcoder-image-1-con
51,1141.6078208606527,,1141.6078208606527,1141.6078208606527,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_gpu:transcoder-image-1-gpu
52,1188.0436264995744,,1188.0436264995744,1188.0436264995744,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con
53,1151.2624155335714,,1151.2624155335714,1151.2624155335714,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con
54,1143.1531186624334,,1143.1531186624334,1143.1531186624334,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con
55,1232.3790695276855,,1232.3790695276855,1232.3790695276855,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_con:transcoder-image-1-con
56,1155.0228048601452,,1155.0228048601452,1155.0228048601452,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_gpu:transcoder-image-1-gpu
57,1171.1830577269654,,1171.1830577269654,1171.1830577269654,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con
58,1201.1856013565516,,1201.1856013565516,1201.1856013565516,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_con:transcoder-image-1-con
59,1185.3719055847625,,1185.3719055847625,1185.3719055847625,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_gpu:transcoder-image-1-gpu
60,1213.9157201757296,,1213.9157201757296,1213.9157201757296,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_con:transcoder-image-1-con
61,1182.0125084088354,,1182.0125084088354,1182.0125084088354,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_gpu:transcoder-image-1-gpu
62,1173.0811277751066,,1173.0811277751066,1173.0811277751066,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con
63,1192.9761131627965,,1192.9761131627965,1192.9761131627965,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con
64,1290.1603455977422,,1290.1603455977422,1290.1603455977422,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_con:transcoder-image-1-con
65,1295.524154040609,,1295.524154040609,1295.524154040609,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
66,1285.9998014885862,,1285.9998014885862,1285.9998014885862,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
67,1297.5529856231005,,1297.5529856231005,1297.5529856231005,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
68,1236.9221556609905,,1236.9221556609905,1236.9221556609905,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
