,index,history,avg_datarate,playing_time,down_time
0,2300,virtual_deployment_units_vm:transcoder-image-1-vm,763.3391952988776,53.0,7.0
1,2301,virtual_deployment_units_vm:transcoder-image-1-vm,748.0556848002415,49.0,11.0
2,2302,virtual_deployment_units_vm:transcoder-image-1-vm,744.0316478411356,60.0,0.0
3,2303,virtual_deployment_units_con:transcoder-image-1-con,762.4010736572332,58.0,2.0
4,2304,virtual_deployment_units_vm:transcoder-image-1-vm,769.2274659872055,60.0,0.0
5,2305,virtual_deployment_units_con:transcoder-image-1-con,782.0984415317837,36.0,24.0
6,2306,virtual_deployment_units_vm:transcoder-image-1-vm,735.2513475664731,56.0,4.0
7,2307,virtual_deployment_units_con:transcoder-image-1-con,858.3192984263102,60.0,0.0
8,2308,virtual_deployment_units_con:transcoder-image-1-con,746.5548359829446,44.0,16.0
9,2309,virtual_deployment_units_vm:transcoder-image-1-vm,813.5480746626854,60.0,0.0
10,2310,virtual_deployment_units_con:transcoder-image-1-con,805.4329343140125,38.0,22.0
11,2311,virtual_deployment_units_vm:transcoder-image-1-vm,744.3501651287079,60.0,0.0
12,2312,virtual_deployment_units_con:transcoder-image-1-con,743.3894902467728,60.0,0.0
13,2313,virtual_deployment_units_vm:transcoder-image-1-vm,744.8870668808619,60.0,0.0
14,2314,virtual_deployment_units_con:transcoder-image-1-con,746.5480377276739,60.0,0.0
15,2315,virtual_deployment_units_con:transcoder-image-1-con,744.7903990745544,60.0,0.0
16,2316,virtual_deployment_units_con:transcoder-image-1-con,744.0174609422684,60.0,0.0
17,2317,virtual_deployment_units_vm:transcoder-image-1-vm,743.9704646666845,60.0,0.0
18,2318,virtual_deployment_units_con:transcoder-image-1-con,744.9854602416357,60.0,0.0
19,2319,virtual_deployment_units_con:transcoder-image-1-con,744.182163476944,60.0,0.0
20,2320,virtual_deployment_units_con:transcoder-image-1-con,744.8314150174459,60.0,0.0
21,2321,virtual_deployment_units_con:transcoder-image-1-con,744.5250680049261,60.0,0.0
22,2322,virtual_deployment_units_vm:transcoder-image-1-vm,745.9747314453125,60.0,0.0
23,2323,virtual_deployment_units_con:transcoder-image-1-con,743.9736306667328,60.0,0.0
24,2324,virtual_deployment_units_con:transcoder-image-1-con,744.0569470326105,60.0,0.0
25,2325,virtual_deployment_units_con:transcoder-image-1-con,745.0587918361028,60.0,0.0
26,2326,virtual_deployment_units_con:transcoder-image-1-con,744.9544757604599,60.0,0.0
27,2327,virtual_deployment_units_con:transcoder-image-1-con,744.9690759181976,60.0,0.0
28,2328,virtual_deployment_units_con:transcoder-image-1-con,744.4491604963938,60.0,0.0
29,2329,virtual_deployment_units_con:transcoder-image-1-con,744.287105401357,60.0,0.0
