,pc_100,avg_datarate,playing_time,down_time
74,virtual_deployment_units_vm:transcoder-image-1-vm,2627.694875501946,296.0,4.0
75,virtual_deployment_units_gpu:transcoder-image-1-gpu,6193.201391177403,294.0,6.0
76,virtual_deployment_units_vm:transcoder-image-1-vm,2457.2976960631827,296.0,4.0
77,virtual_deployment_units_gpu:transcoder-image-1-gpu,6552.412616526521,296.0,4.0
78,virtual_deployment_units_vm:transcoder-image-1-vm,2163.029246682289,296.0,4.0
79,virtual_deployment_units_gpu:transcoder-image-1-gpu,5967.19897407535,292.0,8.0
80,virtual_deployment_units_vm:transcoder-image-1-vm,2292.677819878863,296.0,4.0
81,virtual_deployment_units_gpu:transcoder-image-1-gpu,6039.8543873089275,296.0,4.0
82,virtual_deployment_units_vm:transcoder-image-1-vm,2156.3236388384094,296.0,4.0
83,virtual_deployment_units_gpu:transcoder-image-1-gpu,6732.309109512592,296.0,4.0
84,virtual_deployment_units_vm:transcoder-image-1-vm,2638.62783572561,292.0,8.0
85,virtual_deployment_units_gpu:transcoder-image-1-gpu,6087.521082323408,295.0,5.0
86,virtual_deployment_units_vm:transcoder-image-1-vm,2667.8176753522966,296.0,4.0
87,virtual_deployment_units_gpu:transcoder-image-1-gpu,6944.338455996257,296.0,4.0
88,virtual_deployment_units_vm:transcoder-image-1-vm,2266.3718990075427,292.0,8.0
89,virtual_deployment_units_gpu:transcoder-image-1-gpu,4678.296468726805,67.0,233.0
