,index,history,avg_datarate,playing_time,down_time
0,3325,virtual_deployment_units_con:transcoder-image-1-con,829.8860710859299,300.0,0.0
1,3326,virtual_deployment_units_gpu:transcoder-image-1-gpu,6548.036023872356,290.0,10.0
2,3327,virtual_deployment_units_gpu:transcoder-image-1-gpu,6369.936994463205,300.0,0.0
3,3328,virtual_deployment_units_gpu:transcoder-image-1-gpu,6651.827397346497,300.0,0.0
4,3329,virtual_deployment_units_con:transcoder-image-1-con,1019.8515348099746,290.0,10.0
5,3330,virtual_deployment_units_con:transcoder-image-1-con,835.9291346371174,300.0,0.0
6,3331,virtual_deployment_units_con:transcoder-image-1-con,823.3703623898327,300.0,0.0
7,3332,virtual_deployment_units_con:transcoder-image-1-con,750.5280010898908,300.0,0.0
8,3333,virtual_deployment_units_con:transcoder-image-1-con,761.6704852390103,300.0,0.0
9,3334,virtual_deployment_units_con:transcoder-image-1-con,830.5215189854304,300.0,0.0
10,3335,virtual_deployment_units_con:transcoder-image-1-con,816.6318359598517,300.0,0.0
11,3336,virtual_deployment_units_con:transcoder-image-1-con,757.198153535525,300.0,0.0
12,3337,virtual_deployment_units_con:transcoder-image-1-con,805.1298238593154,300.0,0.0
13,3338,virtual_deployment_units_con:transcoder-image-1-con,817.3747237895926,300.0,0.0
14,3339,virtual_deployment_units_con:transcoder-image-1-con,832.267330015699,300.0,0.0
15,3340,virtual_deployment_units_con:transcoder-image-1-con,755.2377036213875,300.0,0.0
16,3341,virtual_deployment_units_con:transcoder-image-1-con,819.2613568902016,300.0,0.0
17,3342,virtual_deployment_units_con:transcoder-image-1-con,821.459725263218,300.0,0.0
18,3343,virtual_deployment_units_con:transcoder-image-1-con,752.2561887900034,300.0,0.0
19,3344,virtual_deployment_units_con:transcoder-image-1-con,783.978637639278,300.0,0.0
20,3345,virtual_deployment_units_con:transcoder-image-1-con,810.9401120245457,300.0,0.0
21,3346,virtual_deployment_units_con:transcoder-image-1-con,838.5352308986088,300.0,0.0
22,3347,virtual_deployment_units_con:transcoder-image-1-con,823.0353581439704,300.0,0.0
23,3348,virtual_deployment_units_con:transcoder-image-1-con,823.1184027051821,299.0,1.0
24,3349,virtual_deployment_units_con:transcoder-image-1-con,837.3351247111956,300.0,0.0
25,3350,virtual_deployment_units_con:transcoder-image-1-con,836.0606632816294,300.0,0.0
26,3351,virtual_deployment_units_con:transcoder-image-1-con,841.5453038240472,300.0,0.0
27,3352,virtual_deployment_units_con:transcoder-image-1-con,839.1786845276753,300.0,0.0
28,3353,virtual_deployment_units_con:transcoder-image-1-con,800.9375792369246,300.0,0.0
29,3354,virtual_deployment_units_con:transcoder-image-1-con,740.1223275065422,300.0,0.0
30,3355,virtual_deployment_units_con:transcoder-image-1-con,771.7176069536557,300.0,0.0
31,3356,virtual_deployment_units_con:transcoder-image-1-con,842.680338943998,300.0,0.0
32,3357,virtual_deployment_units_con:transcoder-image-1-con,830.7758013904095,300.0,0.0
33,3358,virtual_deployment_units_con:transcoder-image-1-con,761.7466067274412,300.0,0.0
34,3359,virtual_deployment_units_con:transcoder-image-1-con,802.0182350277901,300.0,0.0
35,3360,virtual_deployment_units_con:transcoder-image-1-con,830.7060950621963,300.0,0.0
36,3361,virtual_deployment_units_con:transcoder-image-1-con,846.6509664307038,300.0,0.0
37,3362,virtual_deployment_units_con:transcoder-image-1-con,760.061669399341,300.0,0.0
38,3363,virtual_deployment_units_con:transcoder-image-1-con,815.5130028227965,300.0,0.0
39,3364,virtual_deployment_units_con:transcoder-image-1-con,819.7129748078684,300.0,0.0
40,3365,virtual_deployment_units_con:transcoder-image-1-con,766.8866306046644,300.0,0.0
41,3366,virtual_deployment_units_con:transcoder-image-1-con,825.1790723204613,300.0,0.0
42,3367,virtual_deployment_units_con:transcoder-image-1-con,826.197440760831,300.0,0.0
43,3368,virtual_deployment_units_con:transcoder-image-1-con,843.7955234168718,300.0,0.0
44,3369,virtual_deployment_units_con:transcoder-image-1-con,826.5503538355082,299.0,1.0
45,3370,virtual_deployment_units_con:transcoder-image-1-con,802.8836620723208,300.0,0.0
46,3371,virtual_deployment_units_gpu:transcoder-image-1-gpu,6677.621932578661,289.0,11.0
