,pc_100,avg_datarate,playing_time,down_time,buffer_time
0,virtual_deployment_units_con:transcoder-image-1-con,655.7729646289429,299.0,0.0,1.0
1,virtual_deployment_units_gpu:transcoder-image-1-gpu,5123.5818808775875,287.0,8.0,5.0
2,virtual_deployment_units_con:transcoder-image-1-con,817.1579254256194,287.0,9.0,4.0
3,virtual_deployment_units_gpu:transcoder-image-1-gpu,4633.797855135829,286.0,9.0,5.0
4,virtual_deployment_units_con:transcoder-image-1-con,734.3036786364071,288.0,9.0,3.0
5,virtual_deployment_units_gpu:transcoder-image-1-gpu,5711.32872248518,288.0,9.0,3.0
6,virtual_deployment_units_con:transcoder-image-1-con,939.6822919370607,284.0,13.0,3.0
7,virtual_deployment_units_gpu:transcoder-image-1-gpu,5268.565196550422,285.0,10.0,5.0
8,virtual_deployment_units_con:transcoder-image-1-con,827.081658227786,284.0,12.0,4.0
9,virtual_deployment_units_gpu:transcoder-image-1-gpu,5576.501623960212,286.0,10.0,4.0
10,virtual_deployment_units_con:transcoder-image-1-con,807.2595728056816,286.0,10.0,4.0
11,virtual_deployment_units_vm:transcoder-image-1-vm,703.279049261599,294.0,3.0,3.0
12,virtual_deployment_units_con:transcoder-image-1-con,748.968987887231,292.0,3.0,5.0
13,virtual_deployment_units_vm:transcoder-image-1-vm,634.1670278244379,292.0,5.0,3.0
14,virtual_deployment_units_con:transcoder-image-1-con,692.752986590741,293.0,3.0,4.0
15,virtual_deployment_units_vm:transcoder-image-1-vm,654.0800553079494,294.0,3.0,3.0
16,virtual_deployment_units_con:transcoder-image-1-con,735.8782435608964,292.0,3.0,5.0
17,virtual_deployment_units_vm:transcoder-image-1-vm,656.912949737225,289.0,6.0,5.0
18,virtual_deployment_units_con:transcoder-image-1-con,607.0900322355587,286.0,6.0,8.0
19,virtual_deployment_units_vm:transcoder-image-1-vm,701.4894426793797,280.0,9.0,11.0
20,virtual_deployment_units_vm:transcoder-image-1-vm,699.6667818742552,299.0,0.0,1.0
21,virtual_deployment_units_gpu:transcoder-image-1-gpu,5512.685272552199,293.0,3.0,4.0
22,virtual_deployment_units_vm:transcoder-image-1-vm,2003.8060153255592,294.0,3.0,3.0
23,virtual_deployment_units_gpu:transcoder-image-1-gpu,5049.342090372777,287.0,6.0,7.0
24,virtual_deployment_units_vm:transcoder-image-1-vm,1856.1529427677494,288.0,6.0,6.0
25,virtual_deployment_units_gpu:transcoder-image-1-gpu,4696.891485028348,293.0,3.0,4.0
26,virtual_deployment_units_vm:transcoder-image-1-vm,1807.2361524881153,289.0,6.0,5.0
27,virtual_deployment_units_gpu:transcoder-image-1-gpu,5527.7693097156525,292.0,3.0,5.0
28,virtual_deployment_units_vm:transcoder-image-1-vm,2110.945630038308,294.0,3.0,3.0
29,virtual_deployment_units_gpu:transcoder-image-1-gpu,5429.078686760649,292.0,3.0,5.0
