,pc_100,avg_datarate,playing_time,down_time,buffer_time,total_downtime
0,virtual_deployment_units_con:transcoder-image-1-con,670.1500854613789,299.0,0.0,1.0,1.0
1,virtual_deployment_units_gpu:transcoder-image-1-gpu,4907.677516177044,293.0,3.0,4.0,7.0
2,virtual_deployment_units_con:transcoder-image-1-con,743.326783041797,294.0,3.0,3.0,6.0
3,virtual_deployment_units_gpu:transcoder-image-1-gpu,4876.865289499194,293.0,3.0,4.0,7.0
4,virtual_deployment_units_con:transcoder-image-1-con,888.407779901865,292.0,3.0,5.0,8.0
5,virtual_deployment_units_gpu:transcoder-image-1-gpu,5715.588116191201,293.0,3.0,4.0,7.0
6,virtual_deployment_units_con:transcoder-image-1-con,907.5281498511716,293.0,3.0,4.0,7.0
7,virtual_deployment_units_gpu:transcoder-image-1-gpu,6014.649766019067,294.0,3.0,3.0,6.0
8,virtual_deployment_units_con:transcoder-image-1-con,942.1534192856071,292.0,4.0,4.0,8.0
9,virtual_deployment_units_gpu:transcoder-image-1-gpu,5170.822822560967,295.0,3.0,2.0,5.0
10,virtual_deployment_units_con:transcoder-image-1-con,831.511611943259,294.0,4.0,2.0,6.0
11,virtual_deployment_units_gpu:transcoder-image-1-gpu,5823.493130176755,293.0,3.0,4.0,7.0
12,virtual_deployment_units_con:transcoder-image-1-con,971.815823996127,296.0,3.0,1.0,4.0
13,virtual_deployment_units_gpu:transcoder-image-1-gpu,5053.23396234189,293.0,3.0,4.0,7.0
14,virtual_deployment_units_con:transcoder-image-1-con,765.8858222106622,294.0,3.0,3.0,6.0
15,virtual_deployment_units_gpu:transcoder-image-1-gpu,5466.313369882603,292.0,3.0,5.0,8.0
16,virtual_deployment_units_con:transcoder-image-1-con,903.1672550081197,293.0,3.0,4.0,7.0
17,virtual_deployment_units_gpu:transcoder-image-1-gpu,5451.880957363015,293.0,3.0,4.0,7.0
18,virtual_deployment_units_con:transcoder-image-1-con,799.1953428619269,292.0,3.0,5.0,8.0
19,virtual_deployment_units_gpu:transcoder-image-1-gpu,5413.79529338772,293.0,3.0,4.0,7.0
20,virtual_deployment_units_con:transcoder-image-1-con,826.7485032588042,294.0,3.0,3.0,6.0
21,virtual_deployment_units_gpu:transcoder-image-1-gpu,5815.7389815393335,294.0,3.0,3.0,6.0
22,virtual_deployment_units_con:transcoder-image-1-con,803.387625651504,291.0,5.0,4.0,9.0
23,virtual_deployment_units_gpu:transcoder-image-1-gpu,5400.25498680267,294.0,3.0,3.0,6.0
24,virtual_deployment_units_con:transcoder-image-1-con,855.4427013858348,294.0,3.0,3.0,6.0
25,virtual_deployment_units_gpu:transcoder-image-1-gpu,5455.647791798755,294.0,3.0,3.0,6.0
26,virtual_deployment_units_con:transcoder-image-1-con,816.8247772285999,293.0,3.0,4.0,7.0
27,virtual_deployment_units_gpu:transcoder-image-1-gpu,5550.923378055764,294.0,3.0,3.0,6.0
28,virtual_deployment_units_con:transcoder-image-1-con,802.8596852300846,295.0,3.0,2.0,5.0
29,virtual_deployment_units_gpu:transcoder-image-1-gpu,5115.471883353962,295.0,3.0,2.0,5.0
30,virtual_deployment_units_con:transcoder-image-1-con,691.2389280160471,292.0,5.0,3.0,8.0
31,virtual_deployment_units_vm:transcoder-image-1-vm,696.0760238375199,293.0,3.0,4.0,7.0
32,virtual_deployment_units_con:transcoder-image-1-con,727.3190556693885,293.0,3.0,4.0,7.0
33,virtual_deployment_units_vm:transcoder-image-1-vm,684.7901448985094,287.0,6.0,7.0,13.0
34,virtual_deployment_units_con:transcoder-image-1-con,701.6189674022121,295.0,3.0,2.0,5.0
35,virtual_deployment_units_vm:transcoder-image-1-vm,696.1483148467803,294.0,3.0,3.0,6.0
36,virtual_deployment_units_con:transcoder-image-1-con,596.2862387312123,294.0,3.0,3.0,6.0
37,virtual_deployment_units_vm:transcoder-image-1-vm,604.7692454385066,291.0,3.0,6.0,9.0
38,virtual_deployment_units_con:transcoder-image-1-con,654.5069657779973,286.0,6.0,8.0,14.0
39,virtual_deployment_units_vm:transcoder-image-1-vm,684.9045297624576,275.0,12.0,13.0,25.0
40,virtual_deployment_units_con:transcoder-image-1-con,689.2910300544938,292.0,3.0,5.0,8.0
41,virtual_deployment_units_vm:transcoder-image-1-vm,667.5070854115118,287.0,6.0,7.0,13.0
42,virtual_deployment_units_con:transcoder-image-1-con,656.6229386153776,292.0,4.0,4.0,8.0
43,virtual_deployment_units_vm:transcoder-image-1-vm,663.1995266506157,292.0,3.0,5.0,8.0
44,virtual_deployment_units_con:transcoder-image-1-con,697.511410847509,292.0,3.0,5.0,8.0
45,virtual_deployment_units_vm:transcoder-image-1-vm,653.8968579590219,292.0,3.0,5.0,8.0
46,virtual_deployment_units_con:transcoder-image-1-con,708.9777444409835,291.0,3.0,6.0,9.0
47,virtual_deployment_units_vm:transcoder-image-1-vm,718.3293682516693,288.0,6.0,6.0,12.0
48,virtual_deployment_units_con:transcoder-image-1-con,704.8285048847803,292.0,4.0,4.0,8.0
49,virtual_deployment_units_vm:transcoder-image-1-vm,680.7412797210233,293.0,3.0,4.0,7.0
50,virtual_deployment_units_con:transcoder-image-1-con,685.9956719360109,293.0,4.0,3.0,7.0
51,virtual_deployment_units_vm:transcoder-image-1-vm,737.7678618077774,292.0,5.0,3.0,8.0
52,virtual_deployment_units_con:transcoder-image-1-con,534.5994479627021,294.0,3.0,3.0,6.0
53,virtual_deployment_units_vm:transcoder-image-1-vm,574.267384666821,288.0,4.0,8.0,12.0
54,virtual_deployment_units_con:transcoder-image-1-con,709.4251052381433,292.0,5.0,3.0,8.0
55,virtual_deployment_units_vm:transcoder-image-1-vm,670.6384789948869,282.0,9.0,9.0,18.0
56,virtual_deployment_units_con:transcoder-image-1-con,581.5599518702239,294.0,3.0,3.0,6.0
57,virtual_deployment_units_vm:transcoder-image-1-vm,649.893555119132,295.0,3.0,2.0,5.0
58,virtual_deployment_units_con:transcoder-image-1-con,692.4180832580995,293.0,3.0,4.0,7.0
59,virtual_deployment_units_vm:transcoder-image-1-vm,649.6802868330977,294.0,3.0,3.0,6.0
60,virtual_deployment_units_vm:transcoder-image-1-vm,643.0230424645663,298.0,0.0,2.0,2.0
61,virtual_deployment_units_gpu:transcoder-image-1-gpu,5145.846990818108,294.0,3.0,3.0,6.0
62,virtual_deployment_units_vm:transcoder-image-1-vm,2021.3729358550643,292.0,3.0,5.0,8.0
63,virtual_deployment_units_gpu:transcoder-image-1-gpu,4581.345144916875,55.0,3.0,242.0,245.0
64,virtual_deployment_units_vm:transcoder-image-1-vm,1801.852092427546,288.0,6.0,6.0,12.0
65,virtual_deployment_units_gpu:transcoder-image-1-gpu,5691.718640963773,294.0,3.0,3.0,6.0
66,virtual_deployment_units_vm:transcoder-image-1-vm,2189.208668887872,286.0,6.0,8.0,14.0
67,virtual_deployment_units_gpu:transcoder-image-1-gpu,5685.966666173316,292.0,3.0,5.0,8.0
68,virtual_deployment_units_vm:transcoder-image-1-vm,2089.7262980532205,294.0,3.0,3.0,6.0
69,virtual_deployment_units_gpu:transcoder-image-1-gpu,5197.944690918518,293.0,3.0,4.0,7.0
70,virtual_deployment_units_vm:transcoder-image-1-vm,1888.1393146843222,293.0,3.0,4.0,7.0
71,virtual_deployment_units_gpu:transcoder-image-1-gpu,4490.939139577284,294.0,3.0,3.0,6.0
72,virtual_deployment_units_vm:transcoder-image-1-vm,2072.703115814302,290.0,6.0,4.0,10.0
73,virtual_deployment_units_gpu:transcoder-image-1-gpu,5080.251275545965,293.0,4.0,3.0,7.0
74,virtual_deployment_units_vm:transcoder-image-1-vm,1888.7715603577326,294.0,3.0,3.0,6.0
75,virtual_deployment_units_gpu:transcoder-image-1-gpu,5836.05978403051,293.0,3.0,4.0,7.0
76,virtual_deployment_units_vm:transcoder-image-1-vm,2164.46242828199,294.0,3.0,3.0,6.0
77,virtual_deployment_units_gpu:transcoder-image-1-gpu,5489.453764989564,288.0,6.0,6.0,12.0
78,virtual_deployment_units_vm:transcoder-image-1-vm,2469.3970778185158,288.0,6.0,6.0,12.0
79,virtual_deployment_units_gpu:transcoder-image-1-gpu,5546.244382731996,293.0,3.0,4.0,7.0
80,virtual_deployment_units_vm:transcoder-image-1-vm,1766.7159796835467,289.0,6.0,5.0,11.0
81,virtual_deployment_units_gpu:transcoder-image-1-gpu,5336.537303485103,293.0,3.0,4.0,7.0
82,virtual_deployment_units_vm:transcoder-image-1-vm,1934.4937326227641,289.0,6.0,5.0,11.0
83,virtual_deployment_units_gpu:transcoder-image-1-gpu,5388.45140554516,293.0,3.0,4.0,7.0
84,virtual_deployment_units_vm:transcoder-image-1-vm,2319.8479614298953,295.0,3.0,2.0,5.0
85,virtual_deployment_units_gpu:transcoder-image-1-gpu,5409.2012807524125,292.0,3.0,5.0,8.0
86,virtual_deployment_units_vm:transcoder-image-1-vm,1905.4144018939858,286.0,6.0,8.0,14.0
87,virtual_deployment_units_gpu:transcoder-image-1-gpu,4517.050039593359,292.0,3.0,5.0,8.0
88,virtual_deployment_units_vm:transcoder-image-1-vm,1768.464464923119,291.0,3.0,6.0,9.0
89,virtual_deployment_units_gpu:transcoder-image-1-gpu,5674.741197780178,294.0,3.0,3.0,6.0
