,pc_100,pc_100,pc_100,pc_100,pc_100,pc_100,pc_98,pc_98,pc_98,pc_98,pc_98,pc_98,pc_96,pc_96,pc_96,pc_96,pc_96,pc_96,pc_94,pc_94,pc_94,pc_94,pc_94,pc_94,pc_92,pc_92,pc_92,pc_92,pc_92,pc_92,pc_90,pc_90,pc_90,pc_90,pc_90,pc_90,history,history,history,history,history,history
,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded
0,456,456,2040,0,0,0,456,456,2040,10,0,5,480,480,2080,55,0,45,498,498,2110,100,0,100,552,552,2200,225,210,0,606,606,2290,330,0,300,3846,3846,15290,924,342,359
1,456,456,2040,0,0,0,468,468,2060,10,10,0,450,450,2030,40,35,0,486,486,2170,150,110,0,564,564,2220,270,240,0,546,546,2190,350,0,330,3846,3846,15290,924,342,359
2,456,456,2040,0,0,0,456,456,2040,10,0,10,474,474,2070,65,0,65,522,522,2150,135,125,0,540,540,2180,250,230,0,585,585,2255,360,0,315,3846,3846,15290,924,342,359
3,456,456,2040,0,0,0,456,456,2040,20,0,10,444,444,2020,60,50,0,510,510,2130,140,0,140,522,522,2230,315,265,0,588,588,2260,380,305,0,3846,3846,15290,924,342,359
4,456,456,2040,0,0,0,450,450,2030,15,0,10,480,480,2160,70,40,0,492,492,2100,135,125,0,522,522,2150,185,0,175,516,516,2140,355,0,315,3846,3846,15290,924,342,359
5,456,456,2040,0,0,0,456,456,2040,10,10,0,474,474,2070,45,0,40,492,492,2100,135,105,0,528,528,2160,255,210,0,570,570,2230,260,0,245,3846,3846,15290,924,342,359
6,456,456,2040,0,0,0,450,450,2030,15,0,10,486,486,2090,80,0,60,510,510,2130,125,0,105,501,501,2115,280,0,245,570,570,2230,315,295,0,3846,3846,15290,924,342,359
7,456,456,2040,0,0,0,456,456,2040,5,5,0,462,462,2050,75,65,0,522,522,2150,150,0,145,540,540,2180,210,0,190,540,540,2180,310,280,0,3846,3846,15290,924,342,359
8,456,456,2040,0,0,0,456,456,2040,5,0,0,468,468,2060,60,0,55,534,534,2170,125,120,0,552,552,2200,245,240,0,585,585,2255,375,0,345,3846,3846,15290,924,342,359
9,456,456,2040,0,0,0,468,468,2060,20,20,0,450,450,2030,70,65,0,486,486,2090,65,0,60,513,513,2135,185,0,180,642,642,2430,495,415,0,3846,3846,15290,924,342,359
