,pc_100,pc_100,pc_100,pc_100,pc_100,pc_100,pc_98,pc_98,pc_98,pc_98,pc_98,pc_98,pc_96,pc_96,pc_96,pc_96,pc_96,pc_96,pc_94,pc_94,pc_94,pc_94,pc_94,pc_94,pc_92,pc_92,pc_92,pc_92,pc_92,pc_92,pc_90,pc_90,pc_90,pc_90,pc_90,pc_90,history,history,history,history,history,history
10,456,456,2040,0,0,0,450,450,2030,5,5,0,444,444,2020,65,60,0,462,462,2130,170,120,0,576,576,2320,265,220,0,588,588,2260,345,0,295,3846,3846,15290,924,342,359
11,456,456,2040,0,0,0,480,480,2080,35,0,30,474,474,2070,70,0,60,480,480,2080,140,115,0,540,540,2180,245,0,215,546,546,2190,365,310,0,3846,3846,15290,924,342,359
12,456,456,2040,0,0,0,456,456,2040,0,0,0,456,456,2040,50,45,0,492,492,2100,90,90,0,540,540,2260,305,230,0,570,570,2310,435,350,0,3846,3846,15290,924,342,359
13,456,456,2040,0,0,0,456,456,2040,25,0,15,474,474,2070,70,65,0,504,504,2200,140,95,0,486,486,2090,285,235,0,540,540,2180,285,0,260,3846,3846,15290,924,342,359
14,456,456,2040,0,0,0,450,450,2030,15,10,0,480,480,2080,55,0,55,504,504,2120,160,155,0,564,564,2300,255,200,0,594,594,2350,405,325,0,3846,3846,15290,924,342,359
15,456,456,2040,0,0,0,462,462,2050,10,10,0,450,450,2030,75,55,0,492,492,2100,120,0,120,525,525,2155,170,0,145,552,552,2200,320,0,295,3846,3846,15290,924,342,359
16,456,456,2040,0,0,0,462,462,2050,10,0,10,474,474,2070,30,0,30,522,522,2150,115,0,115,504,504,2120,220,0,195,570,570,2230,360,0,335,3846,3846,15290,924,342,359
17,456,456,2040,0,0,0,462,462,2050,10,10,0,462,462,2050,50,45,0,468,468,2060,145,110,0,510,510,2130,230,170,0,588,588,2340,455,345,0,3846,3846,15290,924,342,359
18,456,456,2040,0,0,0,462,462,2050,5,5,0,480,480,2080,80,0,75,468,468,2060,100,0,95,498,498,2110,225,0,210,600,600,2360,425,345,0,3846,3846,15290,924,342,359
19,456,456,2040,0,0,0,462,462,2050,15,15,0,468,468,2140,75,45,0,480,480,2160,150,100,0,501,501,2115,235,0,210,576,576,2240,480,385,0,3846,3846,15290,924,342,359
20,456,456,2040,0,0,0,462,462,2050,5,5,0,444,444,2020,55,0,50,486,486,2090,145,0,140,498,498,2110,260,210,0,558,558,2210,290,0,250,3846,3846,15290,924,342,359
21,456,456,2040,0,0,0,456,456,2040,25,0,25,468,468,2060,80,0,70,510,510,2130,115,0,100,510,510,2130,255,215,0,594,594,2350,385,305,0,3846,3846,15290,924,342,359
22,456,456,2040,0,0,0,450,450,2030,10,0,10,474,474,2150,70,45,0,528,528,2160,140,0,130,522,522,2150,165,0,140,576,576,2240,300,0,270,3846,3846,15290,924,342,359
23,456,456,2040,0,0,0,450,450,2030,20,15,0,480,480,2160,60,40,0,492,492,2100,110,95,0,546,546,2190,270,0,240,546,546,2190,330,275,0,3846,3846,15290,924,342,359
24,456,456,2040,0,0,0,456,456,2040,10,0,10,486,486,2090,40,0,30,510,510,2130,135,0,125,528,528,2160,240,0,225,600,600,2280,415,355,0,3846,3846,15290,924,342,359
25,456,456,2040,0,0,0,456,456,2040,0,0,0,480,480,2080,55,55,0,480,480,2080,135,110,0,534,534,2170,245,220,0,546,546,2190,355,0,300,3846,3846,15290,924,342,359
26,456,456,2040,0,0,0,444,444,2020,25,20,0,480,480,2080,60,0,55,498,498,2190,180,135,0,492,492,2100,185,0,155,561,561,2215,350,0,310,3846,3846,15290,924,342,359
27,456,456,2040,0,0,0,444,444,2020,25,15,0,474,474,2070,30,30,0,516,516,2140,160,115,0,504,504,2200,220,180,0,594,594,2270,430,370,0,3846,3846,15290,924,342,359
28,456,456,2040,0,0,0,450,450,2030,30,25,0,462,462,2050,60,50,0,492,492,2180,205,150,0,534,534,2170,280,260,0,588,588,2340,460,370,0,3846,3846,15290,924,342,359
29,456,456,2040,0,0,0,444,444,2020,30,0,20,450,450,2030,30,20,0,480,480,2080,125,105,0,528,528,2160,230,0,205,546,546,2270,285,240,0,3846,3846,15290,924,342,359
30,456,456,2040,0,0,0,450,450,2030,10,0,5,450,450,2030,35,0,35,510,510,2130,145,0,135,474,474,2070,265,250,0,570,570,2230,370,0,330,3846,3846,15290,924,342,359
31,456,456,2040,0,0,0,450,450,2030,10,0,10,438,438,2010,65,65,0,498,498,2110,120,0,120,516,516,2220,265,220,0,579,579,2245,320,0,285,3846,3846,15290,924,342,359
32,456,456,2040,0,0,0,450,450,2030,10,10,0,480,480,2080,55,0,55,468,468,2060,165,125,0,552,552,2200,250,215,0,636,636,2420,410,325,0,3846,3846,15290,924,342,359
33,456,456,2040,0,0,0,456,456,2040,20,20,0,450,450,2030,65,50,0,480,480,2080,135,0,125,594,594,2270,240,0,215,636,636,2340,405,355,0,3846,3846,15290,924,342,359
34,456,456,2040,0,0,0,450,450,2030,20,20,0,450,450,2030,45,40,0,510,510,2130,160,135,0,519,519,2145,225,0,190,603,603,2285,295,0,255,3846,3846,15290,924,342,359
35,456,456,2040,0,0,0,456,456,2040,15,0,15,474,474,2070,55,0,50,486,486,2090,145,0,130,534,534,2170,260,0,230,528,528,2160,355,315,0,3846,3846,15290,924,342,359
36,456,456,2040,0,0,0,456,456,2040,0,0,0,486,486,2090,40,0,30,540,540,2180,150,0,145,522,522,2230,275,225,0,570,570,2230,360,0,305,3846,3846,15290,924,342,359
37,456,456,2040,0,0,0,468,468,2060,10,10,0,468,468,2060,45,35,0,498,498,2110,175,0,155,528,528,2240,290,225,0,618,618,2310,315,0,255,3846,3846,15290,924,342,359
38,456,456,2040,0,0,0,456,456,2040,10,10,0,492,492,2100,85,60,0,498,498,2110,100,0,90,510,510,2130,270,0,225,627,627,2325,400,0,365,3846,3846,15290,924,342,359
39,456,456,2040,0,0,0,456,456,2040,5,0,0,438,438,2010,70,65,0,498,498,2110,110,0,105,561,561,2215,235,0,210,600,600,2360,345,280,0,3846,3846,15290,924,342,359
40,456,456,2040,0,0,0,456,456,2040,5,0,5,468,468,2060,65,60,0,492,492,2100,105,90,0,525,525,2155,260,0,225,582,582,2330,420,335,0,3846,3846,15290,924,342,359
41,456,456,2040,0,0,0,450,450,2030,5,5,0,480,480,2080,70,65,0,480,480,2080,115,0,110,543,543,2185,195,0,185,624,624,2480,525,425,0,3846,3846,15290,924,342,359
42,456,456,2040,0,0,0,456,456,2040,15,15,0,486,486,2090,50,0,40,480,480,2080,145,125,0,528,528,2160,225,190,0,570,570,2230,305,275,0,3846,3846,15290,924,342,359
43,456,456,2040,0,0,0,462,462,2050,15,0,15,486,486,2090,45,0,45,528,528,2160,130,120,0,528,528,2160,190,160,0,570,570,2230,400,355,0,3846,3846,15290,924,342,359
44,456,456,2040,0,0,0,450,450,2030,10,5,0,474,474,2070,40,0,35,498,498,2110,135,125,0,552,552,2280,265,220,0,576,576,2240,335,0,295,3846,3846,15290,924,342,359
45,456,456,2040,0,0,0,456,456,2040,15,0,15,480,480,2080,45,0,45,492,492,2100,165,155,0,531,531,2165,205,0,175,600,600,2280,405,335,0,3846,3846,15290,924,342,359
46,456,456,2040,0,0,0,456,456,2040,10,0,10,486,486,2090,55,0,45,522,522,2150,165,145,0,594,594,2270,295,250,0,618,618,2310,310,0,290,3846,3846,15290,924,342,359
47,456,456,2040,0,0,0,456,456,2040,5,5,0,492,492,2100,50,0,50,492,492,2180,185,145,0,561,561,2215,240,0,200,570,570,2310,335,0,305,3846,3846,15290,924,342,359
48,456,456,2040,0,0,0,462,462,2050,25,0,20,444,444,2020,60,55,0,516,516,2220,160,110,0,543,543,2185,195,0,185,624,624,2320,450,380,0,3846,3846,15290,924,342,359
49,456,456,2040,0,0,0,456,456,2040,10,5,0,456,456,2040,70,65,0,480,480,2080,165,140,0,510,510,2130,230,195,0,573,573,2235,325,0,300,3846,3846,15290,924,342,359
50,456,456,2040,0,0,0,456,456,2040,10,0,5,486,486,2090,65,0,60,504,504,2120,105,0,90,510,510,2130,255,240,0,552,552,2200,435,350,0,3846,3846,15290,924,342,359
51,456,456,2040,0,0,0,456,456,2040,15,15,0,456,456,2040,70,45,0,468,468,2060,120,0,90,528,528,2240,350,305,0,570,570,2310,415,350,0,3846,3846,15290,924,342,359
52,456,456,2040,0,0,0,462,462,2050,10,10,0,462,462,2130,85,65,0,492,492,2100,90,0,90,534,534,2170,210,0,165,576,576,2240,295,0,270,3846,3846,15290,924,342,359
53,456,456,2040,0,0,0,468,468,2060,15,0,15,474,474,2070,65,45,0,534,534,2170,150,0,150,570,570,2230,255,225,0,624,624,2400,380,325,0,3846,3846,15290,924,342,359
54,456,456,2040,0,0,0,450,450,2030,20,0,15,480,480,2080,50,0,45,498,498,2110,160,130,0,504,504,2200,270,210,0,585,585,2255,355,0,325,3846,3846,15290,924,342,359
55,456,456,2040,0,0,0,456,456,2040,15,0,15,462,462,2050,85,80,0,480,480,2080,160,130,0,552,552,2200,270,250,0,537,537,2175,330,0,305,3846,3846,15290,924,342,359
56,456,456,2040,0,0,0,456,456,2040,15,10,0,462,462,2050,45,25,0,510,510,2130,155,0,150,552,552,2200,190,0,175,555,555,2205,295,0,260,3846,3846,15290,924,342,359
57,456,456,2040,0,0,0,462,462,2050,30,25,0,492,492,2100,60,0,50,504,504,2120,155,0,135,504,504,2120,215,0,210,597,597,2275,300,0,265,3846,3846,15290,924,342,359
58,456,456,2040,0,0,0,462,462,2050,25,0,25,480,480,2080,60,0,45,498,498,2190,135,105,0,558,558,2210,235,0,205,582,582,2330,355,0,300,3846,3846,15290,924,342,359
59,456,456,2040,0,0,0,456,456,2040,5,0,0,450,450,2030,15,0,15,498,498,2110,135,0,115,498,498,2110,240,220,0,558,558,2290,420,355,0,3846,3846,15290,924,342,359
