,pc_100,pc_95,pc_90,pc_85,pc_80,pc_75,pc_70,pc_65,pc_60,history
0,224.49999999999997,225.7,229.7,209.7,200.7,253.29999999999998,264.09999999999997,274.09999999999997,288.7,216.874
1,224.49999999999997,222.9,219.49999999999997,236.7,241.29999999999998,183.7,167.29999999999998,269.7,284.7,216.874
2,224.49999999999997,226.29999999999998,217.5,209.7,200.09999999999997,188.3,170.89999999999998,149.5,134.5,216.874
3,224.49999999999997,225.49999999999997,219.7,234.89999999999998,244.7,184.29999999999998,261.7,153.1,285.29999999999995,216.874
4,224.49999999999997,225.7,216.29999999999998,236.5,242.9,185.09999999999997,172.9,274.7,286.5,216.874
5,224.49999999999997,222.9,231.7,235.89999999999998,245.09999999999997,186.7,266.7,153.5,130.7,216.874
6,224.49999999999997,222.9,230.49999999999997,211.7,201.5,254.09999999999997,168.5,274.9,129.7,216.874
7,224.49999999999997,223.1,219.89999999999998,211.5,200.09999999999997,188.1,264.7,275.9,137.1,216.874
8,224.49999999999997,223.3,217.9,213.7,200.09999999999997,186.89999999999998,170.49999999999997,275.9,283.9,216.874
9,224.49999999999997,223.3,227.5,235.29999999999998,243.89999999999998,188.9,263.09999999999997,273.9,284.5,216.874
