,pc_100,pc_100,pc_100,pc_100,pc_100,pc_100,pc_95,pc_95,pc_95,pc_95,pc_95,pc_95,pc_90,pc_90,pc_90,pc_90,pc_90,pc_90,pc_85,pc_85,pc_85,pc_85,pc_85,pc_85,pc_80,pc_80,pc_80,pc_80,pc_80,pc_80,pc_75,pc_75,pc_75,pc_75,pc_75,pc_75,pc_70,pc_70,pc_70,pc_70,pc_70,pc_70,pc_65,pc_65,pc_65,pc_65,pc_65,pc_65,pc_60,pc_60,pc_60,pc_60,pc_60,pc_60,history,history,history,history,history,history
,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded
82,216,216,360,0,0,0,216,216,360,55,0,55,300,300,500,210,210,0,450,450,750,520,520,0,498,498,830,780,780,0,528,528,880,1095,1095,0,540,540,900,1525,1525,0,504,504,840,1710,1710,0,705,705,1175,2185,0,2185,1998,1998,7890,2787,203,167
83,216,216,360,0,0,0,204,204,340,30,0,30,234,234,390,130,0,130,408,408,680,510,510,0,486,486,810,785,785,0,552,552,920,1210,1210,0,522,522,870,1385,1385,0,516,516,860,1710,1710,0,384,384,640,1965,1965,0,1998,1998,7890,2787,203,167
84,216,216,360,0,0,0,234,234,390,45,45,0,219,219,365,150,0,150,318,318,530,305,0,305,372,372,620,515,0,515,534,534,890,960,0,960,648,648,1080,1360,0,1360,510,510,850,1715,1715,0,360,360,600,2030,2030,0,1998,1998,7890,2787,203,167
85,216,216,360,0,0,0,228,228,380,40,0,40,240,240,400,145,0,145,273,273,455,295,0,295,384,384,640,540,0,540,510,510,850,1165,1165,0,552,552,920,1430,1430,0,648,648,1080,1755,0,1755,702,702,1170,2215,0,2215,1998,1998,7890,2787,203,167
86,216,216,360,0,0,0,204,204,340,30,0,30,246,246,410,150,0,150,450,450,750,515,515,0,381,381,635,575,0,575,534,534,890,1145,1145,0,480,480,800,1475,1475,0,669,669,1115,1690,0,1690,780,780,1300,2245,0,2245,1998,1998,7890,2787,203,167
87,216,216,360,0,0,0,228,228,380,25,25,0,252,252,420,135,0,135,408,408,680,415,415,0,492,492,820,780,780,0,558,558,930,875,0,875,504,504,840,1510,1510,0,642,642,1070,1740,0,1740,690,690,1150,2170,0,2170,1998,1998,7890,2787,203,167
88,216,216,360,0,0,0,228,228,380,35,0,35,264,264,440,160,0,160,450,450,750,455,455,0,528,528,880,670,670,0,573,573,955,910,0,910,576,576,960,1435,1435,0,735,735,1225,1740,0,1740,438,438,730,2000,2000,0,1998,1998,7890,2787,203,167
89,216,216,360,0,0,0,210,210,350,30,0,30,258,258,430,115,0,115,420,420,700,455,455,0,429,429,715,565,0,565,486,486,810,920,0,920,606,606,1010,1400,0,1400,510,510,850,1740,1740,0,408,408,680,2015,2015,0,1998,1998,7890,2787,203,167
90,216,216,360,0,0,0,222,222,370,35,35,0,312,312,520,170,170,0,309,309,515,305,0,305,417,417,695,610,0,610,582,582,970,1160,1160,0,546,546,910,1460,1460,0,474,474,790,1740,1740,0,402,402,670,1945,1945,0,1998,1998,7890,2787,203,167
91,216,216,360,0,0,0,240,240,400,50,50,0,258,258,430,135,0,135,408,408,680,365,365,0,516,516,860,780,780,0,594,594,990,1105,1105,0,726,726,1210,1215,0,1215,726,726,1210,1725,0,1725,747,747,1245,2210,0,2210,1998,1998,7890,2787,203,167
92,216,216,360,0,0,0,216,216,360,30,0,30,228,228,380,150,0,150,267,267,445,320,0,320,528,528,880,840,840,0,495,495,825,905,0,905,498,498,830,1465,1465,0,564,564,940,1740,1740,0,732,732,1220,2205,0,2205,1998,1998,7890,2787,203,167
93,216,216,360,0,0,0,228,228,380,55,0,55,264,264,440,120,0,120,414,414,690,480,480,0,486,486,810,810,810,0,516,516,860,1095,1095,0,657,657,1095,1260,0,1260,486,486,810,1690,1690,0,768,768,1280,2225,0,2225,1998,1998,7890,2787,203,167
94,216,216,360,0,0,0,192,192,320,35,0,35,222,222,370,135,0,135,444,444,740,410,410,0,450,450,750,550,0,550,561,561,935,910,0,910,546,546,910,1490,1490,0,693,693,1155,1750,0,1750,450,450,750,2035,2035,0,1998,1998,7890,2787,203,167
95,216,216,360,0,0,0,228,228,380,50,0,50,300,300,500,210,210,0,384,384,640,500,500,0,528,528,880,735,735,0,573,573,955,905,0,905,672,672,1120,1285,0,1285,777,777,1295,1725,0,1725,762,762,1270,2205,0,2205,1998,1998,7890,2787,203,167
96,216,216,360,0,0,0,210,210,350,65,0,65,336,336,560,230,230,0,384,384,640,465,465,0,582,582,970,705,705,0,522,522,870,930,0,930,648,648,1080,1290,0,1290,522,522,870,1780,1780,0,696,696,1160,2185,0,2185,1998,1998,7890,2787,203,167
97,216,216,360,0,0,0,204,204,340,20,0,20,288,288,480,220,220,0,474,474,790,450,450,0,456,456,760,850,850,0,546,546,910,1120,1120,0,528,528,880,1450,1450,0,486,486,810,1715,1715,0,462,462,770,1985,1985,0,1998,1998,7890,2787,203,167
98,216,216,360,0,0,0,210,210,350,55,0,55,336,336,560,215,215,0,348,348,580,395,395,0,486,486,810,835,835,0,540,540,900,1160,1160,0,600,600,1000,1325,0,1325,462,462,770,1790,1790,0,510,510,850,1930,1930,0,1998,1998,7890,2787,203,167
99,216,216,360,0,0,0,216,216,360,50,50,0,288,288,480,175,175,0,258,258,430,315,0,315,516,516,860,800,800,0,531,531,885,890,0,890,699,699,1165,1355,0,1355,753,753,1255,1730,0,1730,768,768,1280,2185,0,2185,1998,1998,7890,2787,203,167
