,pc_100,pc_100,pc_100,pc_100,pc_100,pc_100,pc_95,pc_95,pc_95,pc_95,pc_95,pc_95,pc_90,pc_90,pc_90,pc_90,pc_90,pc_90,pc_85,pc_85,pc_85,pc_85,pc_85,pc_85,pc_80,pc_80,pc_80,pc_80,pc_80,pc_80,pc_75,pc_75,pc_75,pc_75,pc_75,pc_75,pc_70,pc_70,pc_70,pc_70,pc_70,pc_70,pc_65,pc_65,pc_65,pc_65,pc_65,pc_65,pc_60,pc_60,pc_60,pc_60,pc_60,pc_60,history,history,history,history,history,history
,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded
19,216,216,360,0,0,0,228,228,380,35,35,0,222,222,370,105,0,105,438,438,730,415,415,0,516,516,860,800,800,0,534,534,890,1085,1085,0,579,579,965,1275,0,1275,504,504,840,1715,1715,0,474,474,790,1955,1955,0,1998,1998,7890,2787,203,167
20,216,216,360,0,0,0,222,222,370,45,45,0,246,246,410,170,0,170,294,294,490,320,0,320,516,516,860,750,750,0,522,522,870,1095,1095,0,474,474,790,1425,1425,0,510,510,850,1765,1765,0,504,504,840,1965,1965,0,1998,1998,7890,2787,203,167
21,216,216,360,0,0,0,216,216,360,30,0,30,300,300,500,190,190,0,432,432,720,440,440,0,390,390,650,570,0,570,546,546,910,1150,1150,0,627,627,1045,1265,0,1265,687,687,1145,1775,0,1775,774,774,1290,2150,0,2150,1998,1998,7890,2787,203,167
22,216,216,360,0,0,0,252,252,420,60,60,0,216,216,360,130,0,130,315,315,525,335,0,335,450,450,750,610,0,610,522,522,870,1145,1145,0,504,504,840,1345,1345,0,486,486,810,1755,1755,0,744,744,1240,2200,0,2200,1998,1998,7890,2787,203,167
23,216,216,360,0,0,0,240,240,400,40,40,0,264,264,440,185,185,0,384,384,640,525,525,0,546,546,910,825,825,0,570,570,950,1165,1165,0,699,699,1165,1285,0,1285,540,540,900,1710,1710,0,678,678,1130,2150,0,2150,1998,1998,7890,2787,203,167
24,216,216,360,0,0,0,222,222,370,35,35,0,255,255,425,135,0,135,336,336,560,440,440,0,417,417,695,555,0,555,504,504,840,915,0,915,504,504,840,1480,1480,0,735,735,1225,1780,0,1780,402,402,670,1990,1990,0,1998,1998,7890,2787,203,167
25,216,216,360,0,0,0,210,210,350,40,0,40,216,216,360,160,0,160,324,324,540,310,0,310,510,510,850,785,785,0,483,483,805,850,0,850,588,588,980,1350,1350,0,708,708,1180,1730,0,1730,444,444,740,2020,2020,0,1998,1998,7890,2787,203,167
26,216,216,360,0,0,0,210,210,350,40,0,40,231,231,385,140,0,140,276,276,460,345,0,345,402,402,670,575,0,575,546,546,910,1030,0,1030,699,699,1165,1340,0,1340,705,705,1175,1740,0,1740,420,420,700,1975,1975,0,1998,1998,7890,2787,203,167
27,216,216,360,0,0,0,198,198,330,30,0,30,234,234,390,130,0,130,414,414,690,495,495,0,474,474,790,730,730,0,522,522,870,1200,1200,0,672,672,1120,1345,0,1345,726,726,1210,1760,0,1760,408,408,680,1960,1960,0,1998,1998,7890,2787,203,167
28,216,216,360,0,0,0,216,216,360,30,30,0,240,240,400,140,0,140,414,414,690,370,370,0,480,480,800,820,820,0,507,507,845,865,0,865,564,564,940,1500,1500,0,498,498,830,1655,1655,0,741,741,1235,2145,0,2145,1998,1998,7890,2787,203,167
29,216,216,360,0,0,0,228,228,380,35,35,0,258,258,430,100,0,100,255,255,425,295,0,295,492,492,820,825,825,0,540,540,900,1100,1100,0,534,534,890,1530,1530,0,462,462,770,1755,1755,0,426,426,710,2010,2010,0,1998,1998,7890,2787,203,167
30,216,216,360,0,0,0,240,240,400,25,25,0,324,324,540,205,205,0,468,468,780,495,495,0,564,564,940,775,775,0,606,606,1010,1115,1115,0,594,594,990,1350,0,1350,672,672,1120,1620,0,1620,726,726,1210,2300,0,2300,1998,1998,7890,2787,203,167
31,216,216,360,0,0,0,198,198,330,45,0,45,324,324,540,230,230,0,267,267,445,295,0,295,381,381,635,595,0,595,534,534,890,950,0,950,594,594,990,1315,0,1315,570,570,950,1710,1710,0,699,699,1165,2190,0,2190,1998,1998,7890,2787,203,167
32,216,216,360,0,0,0,216,216,360,30,30,0,243,243,405,135,0,135,327,327,545,305,0,305,423,423,705,510,0,510,504,504,840,1070,1070,0,534,534,890,1480,1480,0,492,492,820,1755,1755,0,732,732,1220,2105,0,2105,1998,1998,7890,2787,203,167
33,216,216,360,0,0,0,210,210,350,45,0,45,282,282,470,175,175,0,282,282,470,330,0,330,516,516,860,795,795,0,498,498,830,1140,1140,0,576,576,960,1470,1470,0,762,762,1270,1720,0,1720,756,756,1260,2215,0,2215,1998,1998,7890,2787,203,167
34,216,216,360,0,0,0,216,216,360,55,0,55,318,318,530,245,245,0,396,396,660,455,455,0,429,429,715,540,0,540,588,588,980,970,0,970,516,516,860,1435,1435,0,486,486,810,1775,1775,0,789,789,1315,2130,0,2130,1998,1998,7890,2787,203,167
35,216,216,360,0,0,0,228,228,380,30,30,0,258,258,430,190,190,0,444,444,740,480,480,0,492,492,820,720,720,0,570,570,950,1060,1060,0,492,492,820,1490,1490,0,642,642,1070,1830,0,1830,831,831,1385,2135,0,2135,1998,1998,7890,2787,203,167
36,216,216,360,0,0,0,210,210,350,20,0,20,258,258,430,185,185,0,336,336,560,450,450,0,486,486,810,795,795,0,498,498,830,890,0,890,666,666,1110,1310,0,1310,726,726,1210,1740,0,1740,480,480,800,2040,2040,0,1998,1998,7890,2787,203,167
37,216,216,360,0,0,0,204,204,340,45,45,0,294,294,490,210,210,0,306,306,510,315,0,315,510,510,850,750,750,0,558,558,930,1215,1215,0,669,669,1115,1310,0,1310,492,492,820,1820,1820,0,723,723,1205,2160,0,2160,1998,1998,7890,2787,203,167
38,216,216,360,0,0,0,222,222,370,40,0,40,270,270,450,200,200,0,270,270,450,240,0,240,426,426,710,580,0,580,474,474,790,1140,1140,0,528,528,880,1450,1450,0,750,750,1250,1650,0,1650,390,390,650,1965,1965,0,1998,1998,7890,2787,203,167
39,216,216,360,0,0,0,222,222,370,35,0,35,258,258,430,90,0,90,432,432,720,475,475,0,468,468,780,710,710,0,534,534,890,835,0,835,633,633,1055,1330,0,1330,420,420,700,1810,1810,0,780,780,1300,2100,0,2100,1998,1998,7890,2787,203,167
