,pc_100,pc_98,pc_96,pc_94,pc_92,pc_90,history
0,62,62,64,60,62,64,3929
1,62,62,62,64,54,60,3929
2,62,62,62,62,59,62,3929
3,62,62,62,62,62,62,3929
4,62,62,62,64,60,60,3929
