,pc_100,pc_95,pc_90,pc_85,pc_80,pc_75,pc_70,pc_65,pc_60,history
0,224.49999999999997,224.29999999999998,219.49999999999997,212.29999999999998,203.3,271.9,173.3,293.7,134.7,221.10599999999997
1,224.49999999999997,222.29999999999998,233.89999999999998,213.3,198.3,269.9,172.1,294.09999999999997,142.5,221.10599999999997
2,224.49999999999997,222.5,218.3,212.1,201.29999999999998,269.09999999999997,177.5,296.09999999999997,304.09999999999997,221.10599999999997
3,224.49999999999997,223.7,236.1,212.5,200.49999999999997,268.5,283.5,293.1,305.29999999999995,221.10599999999997
4,224.49999999999997,222.5,232.29999999999998,242.1,201.7,270.29999999999995,171.7,155.7,305.7,221.10599999999997
5,224.49999999999997,223.5,234.29999999999998,212.7,256.9,268.5,172.1,291.29999999999995,306.7,221.10599999999997
6,224.49999999999997,225.09999999999997,219.29999999999998,241.5,203.3,185.49999999999997,169.29999999999998,155.7,304.7,221.10599999999997
7,224.49999999999997,223.1,232.5,241.89999999999998,259.7,186.5,284.09999999999997,296.5,305.09999999999997,221.10599999999997
8,224.49999999999997,222.9,218.5,242.1,257.7,185.89999999999998,287.3,294.7,135.1,221.10599999999997
9,224.49999999999997,226.29999999999998,232.9,212.9,255.29999999999998,271.9,282.49999999999994,154.5,305.7,221.10599999999997
10,224.49999999999997,222.9,232.9,241.89999999999998,255.09999999999997,267.9,283.9,296.09999999999997,305.49999999999994,221.10599999999997
11,224.49999999999997,222.29999999999998,231.1,240.49999999999997,254.49999999999997,269.7,281.5,294.7,135.9,221.10599999999997
12,224.49999999999997,225.7,231.89999999999998,243.89999999999998,199.7,191.29999999999998,283.9,293.7,137.7,221.10599999999997
13,224.49999999999997,223.5,217.9,242.7,258.29999999999995,189.09999999999997,174.7,295.1,304.9,221.10599999999997
14,224.49999999999997,222.7,232.7,243.29999999999998,204.7,188.1,282.09999999999997,293.1,136.7,221.10599999999997
15,224.49999999999997,222.29999999999998,233.3,242.1,254.09999999999997,269.5,167.1,153.89999999999998,302.3,221.10599999999997
16,224.49999999999997,222.7,219.09999999999997,242.9,258.1,186.7,281.5,158.9,137.29999999999998,221.10599999999997
17,224.49999999999997,225.7,232.7,242.1,257.9,264.29999999999995,172.29999999999998,158.5,305.7,221.10599999999997
18,224.49999999999997,226.1,218.89999999999998,243.7,256.3,270.5,171.89999999999998,149.9,136.29999999999998,221.10599999999997
19,224.49999999999997,225.89999999999998,220.29999999999998,241.1,256.5,267.9,173.5,293.1,302.7,221.10599999999997
