,sent
2020-04-22 03:57:00,1848.6956893989627
2020-04-22 03:58:00,1773.8323991127932
2020-04-22 03:59:00,1828.6939191495994
2020-04-22 04:00:00,1794.041796250883
2020-04-22 04:01:00,1865.3182533213562
2020-04-22 04:02:00,1818.6004756271545
2020-04-22 04:03:00,1846.0532092948185
2020-04-22 04:04:00,1854.28958293616
2020-04-22 04:05:00,1849.9070183875092
2020-04-22 04:06:00,1909.0128378984248
2020-04-22 04:07:00,1806.123732909264
2020-04-22 04:08:00,1864.5694115374708
2020-04-22 04:09:00,1837.6612886546695
2020-04-22 04:10:00,1815.0116598623952
2020-04-22 04:11:00,1846.1993195268867
2020-04-22 04:12:00,1829.570076564692
2020-04-22 04:13:00,1796.0758774412773
2020-04-22 04:14:00,1886.5587183488046
2020-04-22 04:15:00,1782.452249302311
2020-04-22 04:16:00,1873.6891478015127
2020-04-22 04:17:00,1790.5515807289635
2020-04-22 04:18:00,1796.034646467302
2020-04-22 04:19:00,1809.2106778164941
2020-04-22 04:20:00,1809.6271863247055
2020-04-22 04:21:00,1836.6360900756006
2020-04-22 04:22:00,1827.3981534083716
2020-04-22 04:23:00,1806.9653657932045
2020-04-22 04:24:00,1787.4206728856177
2020-04-22 04:25:00,1729.0101103364057
2020-04-22 04:26:00,1784.0329266451583
2020-04-22 04:27:00,1787.3120471578561
2020-04-22 04:28:00,1760.8794983587588
2020-04-22 04:29:00,1767.1806113192276
2020-04-22 04:30:00,1749.3356950959378
2020-04-22 04:31:00,1732.7140892368047
2020-04-22 04:32:00,1862.6225572933195
2020-04-22 04:33:00,1738.5006799304626
2020-04-22 04:34:00,1746.272548372867
2020-04-22 04:35:00,1747.2962884856668
2020-04-22 04:36:00,1738.9221132382847
2020-04-22 04:37:00,1782.8454168398262
2020-04-22 04:38:00,1763.8730533205478
2020-04-22 04:39:00,1700.1170574551631
2020-04-22 04:40:00,1807.997705838069
2020-04-22 04:41:00,1735.096716462496
2020-04-22 04:42:00,1684.4227168384118
2020-04-22 04:43:00,1730.1561680075044
2020-04-22 04:44:00,1781.4390046958301
2020-04-22 04:45:00,1657.1059976231859
2020-04-22 04:46:00,1775.7308125585482
2020-04-22 04:47:00,1655.1561397695466
2020-04-22 04:48:00,1705.688383710245
2020-04-22 04:49:00,1696.7814567825178
