,pc_100,pc_100,pc_100,pc_100,pc_100,pc_90,pc_90,pc_90,pc_90,pc_90,pc_80,pc_80,pc_80,pc_80,pc_80,pc_70,pc_70,pc_70,pc_70,pc_70,pc_60,pc_60,pc_60,pc_60,pc_60,history,history,history,history,history
,datarate,downtime,buffertime,switchtime,wrongversion,datarate,downtime,buffertime,switchtime,wrongversion,datarate,downtime,buffertime,switchtime,wrongversion,datarate,downtime,buffertime,switchtime,wrongversion,datarate,downtime,buffertime,switchtime,wrongversion,datarate,downtime,buffertime,switchtime,wrongversion
45,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0
46,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0
47,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0
48,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0
49,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0
50,668,0,0,0,0,5415,3,3,5,1,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0
51,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,5415,3,3,5,1
52,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,825,3,3,5,0
53,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0
54,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0
55,668,0,0,0,0,825,3,3,5,0,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0
56,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,5415,3,3,5,1
57,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,825,3,3,5,0
58,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,668,0,0,0,0
59,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,668,0,0,0,0,5800,0,0,0,1,5415,3,3,5,1
60,5415,3,3,5,0,5415,3,3,5,0,668,0,0,0,1,668,0,0,0,1,5800,0,0,0,0,825,3,3,5,1
61,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,668,0,0,0,1,5800,0,0,0,0,5415,3,3,5,0
62,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,668,0,0,0,1,5800,0,0,0,0,825,3,3,5,1
63,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,668,0,0,0,1,5800,0,0,0,0,668,0,0,0,1
64,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,668,0,0,0,1,5800,0,0,0,0,668,0,0,0,1
65,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,668,0,0,0,1,5800,0,0,0,0,5415,3,3,5,0
66,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
67,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
68,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
69,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
70,5800,0,0,0,0,5800,0,0,0,0,5415,3,3,5,0,5415,3,3,5,0,5800,0,0,0,0,5800,0,0,0,0
71,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0
72,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0
73,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0
74,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0
75,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0
76,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0
77,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0
78,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0
79,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0
80,5800,0,0,0,0,5800,0,0,0,0,825,3,3,5,1,825,3,3,5,1,5800,0,0,0,0,5800,0,0,0,0
81,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
