,pc_100,pc_98,pc_96,pc_94,pc_92,pc_90,history
0,153,151,167,183,182,201,1283
1,153,153,153,161,177,199,1283
2,153,151,157,165,199,172,1283
3,153,153,161,167,167,193,1283
4,153,155,161,169,173,197,1283
5,153,153,157,163,181,198,1283
6,153,155,159,161,169,205,1283
7,153,151,161,161,197,205,1283
8,153,155,157,171,171,199,1283
9,153,155,157,177,171,195,1283
